ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P19-Eta-A2,737-EtaA2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-A3,737-EtaA3a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-A4,737-EtaA4b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-B1,737-EtaB1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-B2,737-EtaB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-B3,737-EtaB3a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-B5,737-EtaB5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-C1,737-EtaC1b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-C2,737-EtaC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-C3,737-EtaC3b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Eta-C4,737-EtaC4a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-A1,737-L1A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-A2,737-L1A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-A3,737-L1A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-A4,737-L1A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-A5,737-L1A5b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-B1,737-L1B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-B2,737-L1B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-B3,737-L1B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-B4,737-L1B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-B5,737-L1B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-C1,737-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-C2,737-L1C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-C3,737-L1C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-C4,737-L1C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung1-C5,737-L1C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-A1,737-L2A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-A2,737-L2A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-A3,737-L2A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-A4,737-L2A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-A5,737-L2A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-B1,737-L2B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P19-Lung2-B3,737-L2B3/sickle2050/pairedendtb
