ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P33-Lung1-A1,771-L1A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung1-A2,771-L1A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung1-A3,771-L1A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung1-A4,771-L1A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung1-A5,771-L1A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung1-C1,771-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung2-A1,771-L2A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung2-C1,771-L2C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung2-C2,771-L2C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-A1,771-L4A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-A2,771-L4A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-A3,771-L4A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-A4,771-L4A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-A5,771-L4A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-B1,771-L4B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-B2,771-L4B2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-B3,771-L4B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-B4,771-L4B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-B5,771-L4B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C1,771-L4C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C2,771-L4C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C3,771-L4C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C4,771-L4C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Lung4-C5,771-L4C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-A1,771-LivA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-A2,771-LivA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-A3,771-LivA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-A4,771-LivA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-A5,771-LivA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-B2,771-LivB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-B3,771-LivB3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-B4,771-LivB4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-B5,771-LivB5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-C1,771-LivC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-C2,771-LivC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-C4,771-LivC4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P33-Liver-C5,771-LivC5a/sickle2050/pairedendtb
