ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P26-Eta-B1,749-eAB1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-B2,749-eAB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-B3,749-eAB3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-B4,749-eAB4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-B5,749-eAB5a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-A1,749-EtaA1b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-A2,749-EtaA2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-A3,749-EtaA3a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-A4,749-EtaA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-A5,749-EtaA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-C1,749-EtaC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-C2,749-EtaC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-C3,749-EtaC3b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-C4,749-EtaC4b/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Eta-C5,749-etaC5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung1-B1,749-L1B1a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung1-C1,749-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-A1,749-L2A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-A2,749-L2A2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-A3,749-L2A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-A4,749-L2A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-B1,749-L2B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-B2,749-L2B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-C1,749-L2C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung2-C2,749-L2C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-A1,749-L3A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-B1,749-L3B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-B2,749-L3B2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-B3,749-L3B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-C1,749-L3C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-C2,749-L3C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-C3,749-L3C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung3-C5,749-L3C5a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung5-C1,749-L5C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung5-C2,749-L5C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Lung5-C5,749-L5C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Liver-A1,749-LivA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Liver-A2,749-LivA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Liver-A3,749-LivA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Liver-B1,749-LivB1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P26-Liver-C1,749-LivC1/sickle2050/pairedendtb
