ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P38-Lung1-A1,785-L1A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-A2,785-L1A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-A3,785-L1A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-A4,785-L1A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-A5,785-L1A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-B1,785-L1B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-B2,785-L1B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-B3,785-L1B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-B4,785-L1B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-B5,785-L1B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-C1,785-L1C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-C2,785-L1C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-C3,785-L1C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-C4,785-L1C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung1-C5,785-L1C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-A1,785-L2A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-A2,785-L2A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-A3,785-L2A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-A4,785-L2A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-A5,785-L2A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-B1,785-L2B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-B2,785-L2B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-B3,785-L2B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-B4,785-L2B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-B5,785-L2B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-C1,785-L2C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-C2,785-L2C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-C3,785-L2C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-C4,785-L2C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung2-C5,785-L2C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-A1,785-L3A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-A2,785-L3A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-A3,785-L3A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-A4,785-L3A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-A5,785-L3A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-B1,785-L3B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-B2,785-L3B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-B3,785-L3B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-B4,785-L3B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-B5,785-L3B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-C1,785-L3C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-C2,785-L3C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-C3,785-L3C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-C4,785-L3C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung3-C5,785-L3C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-A1,785-L4A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-A3,785-L4A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-A4,785-L4A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-A5,785-L4A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-B1,785-L4B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-B2,785-L4B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-B3,785-L4B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-B4,785-L4B4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-B5,785-L4B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-C1,785-L4C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-C2,785-L4C2a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-C3,785-L4C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-C4,785-L4C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung4-C5,785-L4C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-A1,785-L5A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-A2,785-L5A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-A4,785-L5A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-A5,785-L5A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-B1,785-L5B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-B2,785-L5B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-B3,785-L5B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-B5,785-L5B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-C1,785-L5C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-C2,785-L5C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-C3,785-L5C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Lung5-C5,785-L5C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-A1,785-LIVA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-A2,785-LIVA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-A3,785-LIVA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-A5,785-LIVA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-B1,785-LIVB1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-B2,785-LivB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-B3,785-LIVB3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-B4,785-LIVB4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-C1,785-LIVC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P38-Liver-C2,785-LIVC2/sickle2050/pairedendtb
