ExperimentFolder,Sample,AlignmentFolder
/groups/kishony/tami/2015_11_TB/,P40-Eta-C3,789-EAC3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C1,789-L2C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C2,789-L2C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C3,789-L2C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C4,789-L2C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung2-C5,789-L2C5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung3-C2,789-L3C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung4-A1,789-L4A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung4-C1,789-L4C1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung4-C2,789-L4C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung4-C3,789-L4C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-A1,789-L5A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-A2,789-L5A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-A3,789-L5A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-A5,789-L5A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-B1,789-L5B1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-B2,789-L5B2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-B3,789-L5B3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung5-B5,789-L5B5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-A1,789-L6A1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-A2,789-L6A2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-A3,789-L6A3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-A4,789-L6A4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-A5,789-L6A5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-C1,789-L6C1a/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-C2,789-L6C2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-C3,789-L6C3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Lung6-C4,789-L6C4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-A1,789-SPLA1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-A2,789-SplA2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-A3,789-SplA3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-A4,789-SPLA4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-A5,789-SPLA5/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-B2,789-SPLB2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-C1,789-SPLC1/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-C2,789-SPLC2/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-C3,789-SPLC3/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-C4,789-SPLC4/sickle2050/pairedendtb
/groups/kishony/tami/2015_11_TB/,P40-Spleen-C5,789-SPLC5/sickle2050/pairedendtb
